Zona;Sede;Año;Mes;Ingresos;Costos;Ut_Bruta;Ut_Operativa;Empl_Operativo;Hrs_Reales;Hrs_Posibles;Nivel_rentab
Zonas Secundarias;Medellin Nutibara;2024;abr;355528469;182101171;173427298;9522635;14;1425;2310;Baja
Zonas Secundarias;Medellin Nutibara;2024;may;374327034;193459183;180867851;33972287;14;1522;2310;Baja
Zonas Secundarias;Medellin Nutibara;2024;jun;367990277;169084475;198905802;38699825;14;1258;2310;Baja
Zonas Secundarias;Medellin Nutibara;2024;jul;357281397;197532424;159748973;5700380;14;1439;2310;Baja
Zonas Secundarias;Medellin Nutibara;2024;ago;407295398;223099709;184195689;30468413;14;1680;2310;Baja
Zonas Secundarias;Medellin Nutibara;2024;sep;370511184;196523874;173987310;20901982;16;1538;2470;Baja
Zonas Secundarias;Medellin Nutibara;2024;oct;420848944;203381467;217467477;71486215;16;1784;2470;Baja
Zonas Secundarias;Medellin Nutibara;2024;nov;365383435;188004823;177378612;-5062151;16;1536;2470;Perdida
Zonas Secundarias;Medellin Nutibara;2024;dic;485079355;249132442;235946913;27954810;16;1987;2470;Baja
Zonas Secundarias;Medellin Poblado;2021;ene;171821985;68460345;103361640;41335249;11;1031;1370;Media
Zonas Secundarias;Medellin Poblado;2021;feb;177322922;71963494;105359428;30319955;12;1068;1530;Baja
Zonas Secundarias;Medellin Poblado;2021;mar;212408357;92664539;119743818;44993138;12;1281;1530;Baja
Zonas Secundarias;Medellin Poblado;2021;abr;127499740;75939220;51560520;-29040547;12;709;1530;Perdida
Zonas Secundarias;Medellin Poblado;2021;may;137638458;67787339;69851119;-2118246;11;808;1530;Perdida
Zonas Secundarias;Medellin Poblado;2021;jun;173087396;74673982;98413414;24574924;8;1059;1370;Baja
Zonas Secundarias;Medellin Poblado;2021;jul;194887624;80535153;114352471;35393194;8;1126;1370;Baja
Zonas Secundarias;Medellin Poblado;2021;ago;226152839;95956213;130196626;41412027;9;1272;1530;Baja
Zonas Secundarias;Medellin Poblado;2021;sep;226136924;105355902;120781022;36087563;9;1256;1530;Baja
Zonas Secundarias;Medellin Poblado;2021;oct;196249672;75297822;120951850;48118986;8;1175;1370;Media
Zonas Secundarias;Medellin Poblado;2021;nov;236494047;85965072;150528975;63994708;9;1444;1530;Media
Zonas Secundarias;Medellin Poblado;2021;dic;246206087;94145498;152060589;58165614;9;1456;1530;Media
Zonas Secundarias;Medellin Poblado;2022;ene;195371340;89045211;106326129;20144091;10;1108;1530;Baja
Zonas Secundarias;Medellin Poblado;2022;feb;185761446;86401350;99360096;12313018;10;1079;1530;Baja
Zonas Secundarias;Medellin Poblado;2022;mar;255409956;98117399;157292557;76592770;10;1443;1530;Media
Zonas Secundarias;Medellin Poblado;2022;abr;203138182;88417379;114720803;-3867051;9;1092;1530;Perdida
Zonas Secundarias;Medellin Poblado;2022;may;193899066;82303744;111595322;20016205;9;1069;1440;Baja
Zonas Secundarias;Medellin Poblado;2022;jun;190644029;81918018;108726011;16086627;9;1047;1440;Baja
Zonas Secundarias;Medellin Poblado;2022;jul;216535371;102600337;113935034;22581565;9;1116;1440;Baja
Zonas Secundarias;Medellin Poblado;2022;ago;225414726;102954438;122460288;20846270;9;1098;1440;Baja
Zonas Secundarias;Medellin Poblado;2022;sep;223145833;101249762;121896071;37409330;8;1115;1280;Baja
Zonas Secundarias;Medellin Poblado;2022;oct;224961175;92146581;132814594;56534746;8;1055;1280;Media
Zonas Secundarias;Medellin Poblado;2022;nov;234461102;93749769;140711333;47391900;8;1138;1280;Baja
Zonas Secundarias;Medellin Poblado;2022;dic;267489529;102944011;164545518;65400430;8;1314;1280;Media
Zonas Secundarias;Medellin Poblado;2023;ene;239003518;94037347;144966171;50953053;8;1148;1280;Baja
Zonas Secundarias;Medellin Poblado;2023;feb;219185212;90528878;128656334;32493672;8;1049;1280;Baja
Zonas Secundarias;Medellin Poblado;2023;mar;205562846;91318147;114244699;17561887;8;961;1280;Baja
Zonas Secundarias;Medellin Poblado;2023;abr;217836113;88312709;129523404;38298692;8;1038;1280;Baja
Zonas Secundarias;Medellin Poblado;2023;may;225813123;100579779;125233344;33186026;9;1096;1280;Baja
Zonas Secundarias;Medellin Poblado;2023;jun;227766296;102241162;125525134;10296360;9;983;1280;Baja
Zonas Secundarias;Medellin Poblado;2023;jul;198930748;83953108;114977640;14943162;9;962;1280;Baja
Zonas Secundarias;Medellin Poblado;2023;ago;222664345;97821925;124842420;11411243;8;1084;1120;Baja
Zonas Secundarias;Medellin Poblado;2023;sep;222823147;83634839;139188308;22199932;8;1038;1120;Baja
Zonas Secundarias;Medellin Poblado;2023;oct;178126296;81982351;96143945;-13989942;8;822;1120;Perdida
Zonas Secundarias;Medellin Poblado;2023;nov;199915521;88257455;111658066;1529405;7;938;1120;Perdida
Zonas Secundarias;Medellin Poblado;2023;dic;234480661;85151169;149329492;55990188;7;1098;1120;Media
Zonas Secundarias;Medellin Poblado;2024;ene;209674836;85427710;124247126;24850158;7;891;1120;Baja
Zonas Secundarias;Medellin Poblado;2024;feb;198187573;87966492;110221081;-16494877;6;874;960;Perdida
Zonas Secundarias;Medellin Poblado;2024;mar;187879536;78016148;109863388;4852885;5;812;800;Baja
Zonas Secundarias;Medellin Poblado;2024;abr;275856187;96324089;179532098;71689741;5;1080;800;Media
Zonas Secundarias;Medellin Poblado;2024;may;286235784;117344648;168891136;68335702;5;1148;800;Media
Zonas Secundarias;Medellin Poblado;2024;jun;280959127;121713451;159245676;53580599;7;1046;1120;Baja
Zonas Secundarias;Medellin Poblado;2024;jul;308814422;121041475;187772947;75396945;8;1209;1120;Media
Zonas Secundarias;Medellin Poblado;2024;ago;276483182;115327856;161155326;22777870;8;1085;1120;Baja
